 ,G,W,L,W-L%,SOS,FG%,3P%,FT%,Pace,PP100 Poss.,TS%,TRB%,AST%,STL%,eFG%,TOV%,RPI,Tournament?
Abilene Christian,31,11,20,0.355,-4.12,0.443,0.402,0.749,67.7,104.2,0.559,50.2,54.5,10.4,0.515,18.8,na,0
Air Force,30,12,18,0.4,1.71,0.435,0.331,0.69,65.4,100.1,0.538,48.8,61.7,8.3,0.504,18,247,0
Akron,34,21,13,0.618,-0.48,0.438,0.346,0.623,65.5,103.6,0.527,51,47.6,10,0.503,17,96,0
Alabama A&M,30,14,16,0.467,-10.58,0.41,0.324,0.656,66.5,95.9,0.504,47.1,57.9,9.3,0.467,17.3,272,0
UAB,31,18,13,0.581,-0.77,0.417,0.301,0.658,69.4,104,0.496,55,49,7.8,0.458,15.1,153,0
Alabama State,32,19,13,0.594,-11.4,0.419,0.286,0.676,68,102.4,0.504,49.5,52.4,9.8,0.465,15,253,0
Alabama,32,13,19,0.406,8.88,0.444,0.334,0.685,64.4,104,0.537,48.5,47.4,10.5,0.499,16,128,0
Albany,34,19,15,0.559,-5.22,0.441,0.36,0.75,63,103.3,0.539,52.5,49.2,8.5,0.488,17.2,171,1
Alcorn State,31,12,19,0.387,-9.27,0.418,0.303,0.654,65,96.6,0.498,47.3,40.8,9,0.459,15.5,315,0
American,33,20,13,0.606,-3.25,0.49,0.379,0.707,60.7,103.4,0.584,50.6,65.8,9.8,0.558,20.8,123,1
Appalachian State,30,9,21,0.3,-7.13,0.416,0.302,0.638,67.4,99.8,0.493,50.6,45.5,9.2,0.459,15.1,335,0
Arizona State,33,21,12,0.636,7.41,0.451,0.39,0.694,69,107.2,0.558,48.4,56.3,7.2,0.524,14.6,51,1
Arizona,38,33,5,0.868,9.04,0.469,0.364,0.659,64.1,112.3,0.546,55.1,57.6,9,0.517,13.4,2,1
Arkansas-Little Rock,32,15,17,0.469,-1.09,0.425,0.325,0.737,68.4,101.4,0.519,50.8,48,8.4,0.47,16.2,191,0
Arkansas-Pine Bluff,31,13,18,0.419,-6.9,0.411,0.343,0.661,67.9,92.9,0.508,46.6,53.1,14,0.471,20.1,265,0
Arkansas State,32,19,13,0.594,-3.18,0.444,0.383,0.726,68.6,107.9,0.563,48.5,53.3,9.6,0.523,15.5,186,0
Arkansas,34,22,12,0.647,5.57,0.441,0.362,0.726,72.5,109.2,0.543,47.7,56.1,11.5,0.501,13.7,67,0
Army,31,15,16,0.484,-4.66,0.444,0.339,0.7,68.1,105.4,0.54,48.9,54.4,8.8,0.509,16.3,237,0
Auburn,30,14,16,0.467,5.47,0.437,0.31,0.721,67.6,105.6,0.535,49.3,48.3,9,0.489,15.5,160,0
Austin Peay,30,12,18,0.4,-5.78,0.488,0.344,0.665,71.9,104.8,0.568,48.7,55.7,9.4,0.537,19.2,299,0
Ball State,30,5,25,0.167,0.65,0.407,0.314,0.691,67,95.9,0.511,52.7,57.6,6.6,0.468,21,311,0
Baylor,38,26,12,0.684,10.11,0.455,0.386,0.68,64.2,115.1,0.556,54.8,58.7,8,0.521,14.8,28,1
Belmont,36,26,10,0.722,-1.88,0.498,0.392,0.739,69.5,114.9,0.612,48.8,58.1,9.9,0.58,16.6,48,0
Bethune-Cookman,32,7,25,0.219,-7.53,0.4,0.356,0.719,63.4,99.4,0.507,47.2,46.1,9.7,0.464,17.1,343,0
Binghamton,30,7,23,0.233,-6.15,0.38,0.32,0.693,65.6,92.3,0.489,47.5,47.7,9.2,0.439,18.7,326,0
Boise State,34,21,13,0.618,3.86,0.456,0.372,0.749,65.9,113.9,0.564,53.3,45.7,8.9,0.524,13,81,0
Boston College,32,8,24,0.25,8.62,0.446,0.352,0.741,62.7,107.4,0.567,47.1,55.4,6.8,0.523,15.8,206,0
Boston University,35,24,11,0.686,-2.4,0.452,0.363,0.714,65.9,106.6,0.552,49.1,54.9,10.5,0.523,15.5,90,0
Bowling Green,32,12,20,0.375,-0.2,0.426,0.288,0.637,67,92.9,0.491,49.8,52.1,11.4,0.46,18.8,198,0
Bradley,32,12,20,0.375,-0.31,0.419,0.322,0.701,63.9,99.7,0.504,50,42.4,11.1,0.464,16.1,264,0
BYU,35,23,12,0.657,5.72,0.463,0.355,0.692,73.5,112,0.545,53.3,53.8,9.6,0.503,12.9,38,1
Brown,29,15,14,0.517,-4.04,0.431,0.381,0.673,69.4,101.7,0.52,51.9,52.8,8.1,0.489,16,232,0
Bryant,32,18,14,0.563,-4.89,0.47,0.334,0.703,67.9,107.4,0.558,48.5,50,9.5,0.526,16,180,0
Bucknell,30,16,14,0.533,-3.14,0.429,0.39,0.746,63.7,103.5,0.528,52.8,51.1,7.2,0.489,14.8,170,0
Buffalo,29,19,10,0.655,-2.13,0.447,0.335,0.712,67.7,108.2,0.545,52.1,59.8,10,0.504,15.9,108,0
Butler,31,14,17,0.452,6.98,0.429,0.323,0.661,64,104.2,0.514,50.3,45.7,9.1,0.482,13.2,154,0
Cal Poly,34,14,20,0.412,1.69,0.408,0.333,0.688,60.8,103.5,0.501,48.8,52.3,9.6,0.466,12.5,184,1
Cal State Bakersfield,32,13,19,0.406,-4.31,0.438,0.389,0.688,66,104,0.535,51.6,50.1,9.8,0.501,17.8,279,0
Cal State Fullerton,31,11,20,0.355,-1.12,0.425,0.331,0.658,66.8,100.6,0.513,49.1,46.7,7,0.481,15.5,285,0
Cal State Northridge,35,17,18,0.486,-3.29,0.454,0.367,0.791,68.7,108.6,0.557,51.9,53,9.8,0.492,15.8,251,0
UC Davis,31,9,22,0.29,-1.76,0.438,0.357,0.696,66.6,102.7,0.543,43.9,49.9,7.5,0.51,15.9,323,0
UC Irvine,35,23,12,0.657,-0.65,0.47,0.354,0.641,65.6,106.3,0.544,52.8,60.1,8.4,0.521,16.5,110,0
UC Riverside,31,10,21,0.323,-2.33,0.433,0.302,0.702,67.5,99.5,0.517,49.2,47.2,9.4,0.473,16.8,320,0
UC Santa Barbara,30,21,9,0.7,-0.13,0.464,0.385,0.708,63.1,111.5,0.567,51.7,65.4,7.8,0.531,15.2,107,0
California,35,21,14,0.6,7.44,0.457,0.345,0.686,66.4,107.7,0.538,50.5,58.3,7.9,0.507,13.3,59,0
Campbell,32,12,20,0.375,-7.33,0.441,0.35,0.677,64,104.4,0.544,48.3,58.9,9.3,0.521,17.8,316,0
Canisius,33,21,12,0.636,-1.95,0.458,0.386,0.743,68.2,112.6,0.566,47.9,47.5,10,0.527,14.4,103,0
Central Arkansas,29,8,21,0.276,-5.54,0.447,0.366,0.601,74.3,99.8,0.521,45.4,46.8,11.4,0.501,17,328,0
Central Connecticut,30,11,19,0.367,-6.06,0.435,0.335,0.717,70.8,98.9,0.516,46.6,50.1,9.7,0.482,17.1,289,0
UCF,31,13,18,0.419,5.14,0.439,0.335,0.614,68,105.2,0.52,52.2,48.4,9.9,0.497,16.5,209,0
Central Michigan,31,10,21,0.323,-2.72,0.434,0.32,0.71,65.8,108.3,0.54,47.9,48.4,11.2,0.504,13.9,294,0
Charleston Southern,31,13,18,0.419,-5.75,0.458,0.383,0.73,68.6,116.3,0.573,51.9,49.4,9.3,0.538,13.3,268,0
Charlotte,31,17,14,0.548,-0.5,0.445,0.356,0.648,69.7,101.7,0.527,52.3,53.3,8.6,0.497,18,151,0
Chattanooga,33,18,15,0.545,-7.9,0.433,0.332,0.703,70.4,106.3,0.533,51.3,47,9.9,0.489,16.1,248,0
Chicago State,32,13,19,0.406,-2.44,0.418,0.337,0.675,69.6,98.3,0.509,43.8,45.5,12.2,0.476,15.2,260,0
Cincinnati,34,27,7,0.794,5.28,0.425,0.335,0.708,63.6,107.5,0.519,53.2,52.8,12.4,0.477,14.5,22,1
Citadel,33,7,26,0.212,-6.75,0.43,0.361,0.722,66.5,100,0.529,47.5,57.9,6.2,0.489,16.6,na,0
Clemson,36,23,13,0.639,5.97,0.424,0.31,0.744,59.9,103.9,0.519,51.4,48.1,7.6,0.474,15.6,65,0
Cleveland State,33,21,12,0.636,-0.52,0.469,0.404,0.753,64.7,111.3,0.574,51.4,56,9.2,0.536,16.6,91,0
Coastal Carolina,34,21,13,0.618,-6.31,0.437,0.338,0.691,68.6,104.2,0.528,53.2,42,9.2,0.491,17,182,1
Colgate,31,13,18,0.419,-4.08,0.484,0.396,0.715,62.8,109,0.586,49.1,56.1,7.2,0.564,16.3,258,0
College of Charleston,32,14,18,0.438,-1.89,0.412,0.341,0.656,62.2,99.8,0.504,53.9,45.7,7.4,0.473,17.1,243,0
Colorado State,32,16,16,0.5,2.16,0.428,0.326,0.726,65.8,111.5,0.53,53.4,52.6,7.6,0.476,11.8,185,0
Colorado,35,23,12,0.657,8.8,0.435,0.318,0.718,67,103.7,0.534,54.3,48.8,8.7,0.483,17,42,1
Columbia,34,21,13,0.618,-1.92,0.446,0.388,0.775,61.9,108.1,0.578,52.3,56.5,8.1,0.53,17.3,127,0
Connecticut,40,32,8,0.8,8.63,0.449,0.387,0.777,65.5,108.9,0.562,50.2,50.3,10.7,0.515,15.3,5,1
Coppin State,32,12,20,0.375,-4.99,0.392,0.324,0.73,68.5,101.4,0.507,46.1,51.1,8.7,0.456,14.9,263,0
Cornell,28,2,26,0.071,0.03,0.41,0.318,0.664,65.2,97.4,0.498,46.5,46,6.4,0.471,15.9,329,0
Creighton,35,27,8,0.771,7.17,0.497,0.414,0.743,65.3,120.6,0.616,51.7,64.2,6.1,0.589,13.4,17,1
Dartmouth,28,12,16,0.429,-3.24,0.444,0.379,0.686,64.4,105.1,0.534,51.6,52.3,9.2,0.501,16,262,0
Davidson,33,20,13,0.606,-3.73,0.477,0.376,0.716,68,113.7,0.582,50,50.3,7.9,0.55,14.7,131,0
Dayton,37,26,11,0.703,5.34,0.463,0.377,0.681,65.4,109.6,0.555,52.7,51.9,9.1,0.524,15.7,33,1
Delaware State,30,9,21,0.3,-6.11,0.422,0.322,0.689,61.1,99.6,0.512,47.9,56.8,8.2,0.474,16.6,330,0
Delaware,35,25,10,0.714,-1.1,0.444,0.347,0.711,70.9,111.7,0.546,48.1,40.3,8.4,0.504,11.7,66,1
Denver,31,16,15,0.516,-0.42,0.463,0.387,0.71,59.2,109.6,0.574,45.4,65.5,11.6,0.546,14.8,145,0
DePaul,33,12,21,0.364,7.47,0.423,0.336,0.684,67.3,101.6,0.517,49.8,45.9,9.8,0.476,16.9,157,0
Detroit,32,13,19,0.406,-0.25,0.418,0.321,0.729,68,102.6,0.515,51.4,47.6,10.6,0.469,15.8,234,0
Drake,31,15,16,0.484,1.03,0.452,0.396,0.714,64.4,105.5,0.562,50.8,54.9,8.5,0.527,16.6,179,0
Drexel,30,16,14,0.533,-0.24,0.421,0.314,0.709,63.4,104.6,0.51,49.5,49.2,6.9,0.466,11.3,135,0
Duke,35,26,9,0.743,8.48,0.46,0.395,0.729,65.3,119.6,0.574,51.5,54.8,10.6,0.538,12.4,14,1
Duquesne,30,13,17,0.433,1.03,0.442,0.363,0.669,68.3,107.4,0.539,50,60.9,8.5,0.506,14.1,192,0
East Carolina,34,17,17,0.5,-2.41,0.441,0.368,0.713,66.5,109.6,0.56,48.7,56.6,9.5,0.52,15.4,223,0
East Tennessee State,35,19,16,0.543,-6.08,0.43,0.363,0.748,71.2,107.1,0.546,47.8,48.8,10.7,0.497,14.4,208,0
Eastern Illinois,30,11,19,0.367,-4.21,0.44,0.319,0.715,66.4,101.9,0.531,49.6,51.1,8.6,0.487,17.4,286,0
Eastern Kentucky,34,24,10,0.706,-4.34,0.487,0.39,0.752,67.5,116.3,0.611,44.3,56.5,13,0.574,14.2,95,1
Eastern Michigan,37,22,15,0.595,0.67,0.409,0.309,0.678,65,99.8,0.501,47.7,47.9,12.6,0.456,15.3,87,0
Eastern Washington,31,15,16,0.484,-4.15,0.454,0.371,0.693,69.5,109.1,0.556,51,51.3,6.8,0.524,15.1,230,0
Elon,32,18,14,0.563,-4.5,0.468,0.375,0.723,67.9,109.3,0.572,49.4,52.8,7.4,0.539,15.7,164,0
Evansville,33,14,19,0.424,1.2,0.464,0.362,0.718,66.8,103.2,0.554,48.4,62.6,7.5,0.507,17.2,210,0
Fairfield,32,7,25,0.219,-0.81,0.398,0.333,0.685,66.9,94.4,0.497,50,51.6,6.6,0.46,18.8,288,0
Fairleigh Dickinson,31,10,21,0.323,-4.07,0.42,0.355,0.72,67,103,0.523,45.4,45.7,10,0.484,15.1,269,0
Florida A&M,32,14,18,0.438,-7.58,0.402,0.334,0.654,72,98.3,0.488,49.4,44.5,10.2,0.455,16.8,296,0
Florida Atlantic,32,10,22,0.313,-0.42,0.424,0.334,0.643,65.5,101.1,0.513,51,50.9,7.2,0.484,16.9,271,0
Florida Gulf Coast,35,22,13,0.629,-5.76,0.467,0.329,0.674,68.2,104.2,0.546,52,48.9,8.3,0.518,16.9,149,0
FIU,31,15,16,0.484,-1.58,0.449,0.316,0.67,67.2,101.4,0.529,51.1,44.6,10.5,0.494,18,207,0
Florida State,36,22,14,0.611,8.13,0.466,0.38,0.722,66.1,106.6,0.56,50.8,44.1,8.9,0.517,18.5,49,0
Florida,39,36,3,0.923,8.54,0.46,0.359,0.668,62.9,111.1,0.552,53.8,53.9,11.2,0.522,15,1,1
Fordham,31,10,21,0.323,3.14,0.393,0.306,0.733,69.2,103.3,0.494,48.8,49.6,9.6,0.45,13.7,225,0
Fresno State,39,21,18,0.538,3.75,0.438,0.357,0.731,66.3,107.7,0.548,47.9,49.5,9.6,0.505,13.3,106,0
Furman,30,9,21,0.3,-7.4,0.442,0.333,0.681,65.5,99.1,0.531,47.5,42.4,7.5,0.495,18.3,339,0
Gardner-Webb,33,18,15,0.545,-6.9,0.447,0.339,0.686,67.3,106,0.532,51.1,58.7,11,0.494,15.3,241,0
George Mason,31,11,20,0.355,4.58,0.44,0.352,0.709,67.7,101.5,0.526,50.7,44.8,7.7,0.484,17.2,173,0
George Washington,33,24,9,0.727,4.42,0.463,0.364,0.651,68,107.3,0.546,52.5,54.9,10.4,0.515,16.4,36,1
Georgetown,33,18,15,0.545,8.27,0.46,0.331,0.721,65,108.4,0.555,50.5,53.8,9.2,0.511,15.6,75,0
Georgia Southern,34,15,19,0.441,-8.6,0.436,0.338,0.662,67.1,104.2,0.529,49.9,38.9,10.1,0.499,15.3,304,0
Georgia State,34,25,9,0.735,-2.56,0.468,0.375,0.778,65.8,116.3,0.579,46.6,50.1,11.4,0.534,10.9,78,0
Georgia Tech,33,16,17,0.485,5.24,0.431,0.315,0.684,64.8,101.8,0.512,52,54.5,7.9,0.478,15.8,155,0
Georgia,34,20,14,0.588,5.78,0.441,0.349,0.682,65.2,105,0.536,53.3,44.5,7.8,0.489,17.2,72,0
Gonzaga,36,29,7,0.806,5.36,0.495,0.397,0.709,68.1,114.1,0.59,52.3,54,9.7,0.56,15.3,21,1
Grambling,29,5,24,0.172,-9.05,0.411,0.323,0.667,69,95.1,0.505,46.6,46.5,8.8,0.467,18.8,348,0
Grand Canyon,30,15,15,0.5,-3.51,0.433,0.35,0.74,67.8,105.9,0.556,50.7,57.5,5.9,0.5,16.6,220,0
Green Bay,31,24,7,0.774,0.11,0.474,0.354,0.703,67.7,108.8,0.556,52.2,58.2,10.5,0.518,16.1,69,0
Hampton,31,18,13,0.581,-7.91,0.419,0.32,0.657,71.1,99.8,0.511,49.3,49.1,10.3,0.467,17.3,213,0
Hartford,33,17,16,0.515,-6.18,0.459,0.376,0.703,63.7,102.5,0.573,46.4,55,8.8,0.542,19.7,235,0
Harvard,32,27,5,0.844,-0.47,0.465,0.385,0.724,64.6,111.6,0.564,52.1,57.1,11.6,0.519,15.1,44,1
Hawaii,31,20,11,0.645,-1.68,0.473,0.335,0.722,69.3,114,0.562,53.3,50.5,8.7,0.522,14.4,161,0
High Point,31,16,15,0.516,-5.23,0.472,0.386,0.742,65.5,108,0.561,49.3,56.8,9,0.527,16.1,172,0
Hofstra,33,10,23,0.303,-1.89,0.419,0.334,0.659,65.3,104.4,0.521,51.9,47.3,7.3,0.484,15.9,276,0
Holy Cross,34,20,14,0.588,-3.28,0.43,0.353,0.732,63.9,104,0.534,51,50.2,9.5,0.49,15.9,132,0
Houston Baptist,31,6,25,0.194,-5.39,0.425,0.344,0.682,70.2,95.3,0.509,49.1,52.2,7.2,0.471,19.3,341,0
Houston,33,17,16,0.515,4.62,0.454,0.367,0.667,67.1,105.5,0.541,49.2,58.3,8.1,0.512,16.4,138,0
Howard,33,8,25,0.242,-5.22,0.378,0.337,0.679,67.1,90.2,0.484,47.6,40.8,9.2,0.43,20.8,324,0
Idaho State,29,11,18,0.379,-4.72,0.449,0.366,0.713,64.5,108.4,0.546,52.3,49.3,11.1,0.502,16.2,293,0
Idaho,34,16,18,0.471,-3.72,0.447,0.355,0.688,66.9,107,0.543,50.3,46.1,6.3,0.505,14.8,240,0
Illinois-Chicago,31,6,25,0.194,0.63,0.421,0.328,0.714,66.5,100.4,0.515,50.4,48.5,8.3,0.472,16.3,317,0
Illinois State,34,18,16,0.529,1.77,0.407,0.312,0.704,67.7,99.8,0.515,48.1,53.3,11.3,0.471,15.9,133,0
Illinois,35,20,15,0.571,8.28,0.411,0.317,0.733,62.8,102,0.504,50.4,44,9.8,0.465,14.2,63,0
Incarnate Word,27,21,6,0.778,-10.74,0.488,0.389,0.685,73.5,111.2,0.581,52.9,55.3,8.9,0.552,16.9,na,0
Indiana State,34,23,11,0.676,1.19,0.45,0.348,0.723,66.5,106.9,0.553,50.4,54.1,8.8,0.511,15.1,73,0
Indiana,32,17,15,0.531,6.64,0.448,0.344,0.73,68.7,104.8,0.546,55.4,47.2,8.6,0.499,18.8,97,0
Iona,33,22,11,0.667,-0.1,0.487,0.396,0.714,71,117.2,0.601,46.5,60.8,9.3,0.574,13.3,62,0
Iowa State,36,28,8,0.778,9.88,0.474,0.358,0.693,71.7,113.9,0.569,51.1,62.4,8.2,0.542,12.8,9,1
Iowa,33,20,13,0.606,7.43,0.463,0.35,0.735,69.9,115,0.558,54.7,57.9,10,0.511,13.5,60,1
IPFW,35,24,11,0.686,-3.87,0.488,0.385,0.662,67.2,113,0.581,52.8,53.3,10.1,0.558,16,116,0
IUPUI,32,6,26,0.188,-1.36,0.438,0.311,0.742,66.9,99.1,0.517,46.7,42.6,7.5,0.478,14.8,322,0
Jackson State,31,11,20,0.355,-8.72,0.417,0.293,0.724,67.8,96.2,0.502,51.1,41.6,8.9,0.452,18.8,297,0
Jacksonville State,31,10,21,0.323,-5.14,0.419,0.323,0.675,63.7,102,0.513,47.6,53.4,9.9,0.473,15.3,314,0
Jacksonville,30,12,18,0.4,-4.86,0.437,0.34,0.709,70.7,105.2,0.535,48.2,52,10.4,0.492,16.6,282,0
James Madison,31,11,20,0.355,-2.2,0.409,0.273,0.685,64.7,97.3,0.506,49,42,9,0.457,16.5,236,0
Kansas State,33,20,13,0.606,8.47,0.434,0.331,0.656,65.6,104.2,0.52,50.7,63,9.4,0.488,15.7,58,1
Kansas,35,25,10,0.714,11.4,0.493,0.34,0.711,68.6,114.3,0.58,55.5,54.8,8.4,0.542,16.5,4,1
Kennesaw State,31,6,25,0.194,-4.05,0.422,0.343,0.65,68.2,95.3,0.511,47.9,48.6,8.6,0.48,20.2,325,0
Kent State,32,16,16,0.5,-1.94,0.429,0.346,0.703,66.5,103.8,0.53,49.3,47.3,9.3,0.494,15.8,212,0
Kentucky,40,29,11,0.725,9.9,0.454,0.332,0.682,65.9,112.4,0.543,56.6,44.4,7.1,0.5,15,7,1
La Salle,31,15,16,0.484,4.75,0.413,0.325,0.708,65.2,102.2,0.508,50,53.5,8.4,0.464,15,98,0
Lafayette,31,11,20,0.355,-3.38,0.47,0.398,0.744,65.5,108,0.574,47.3,51.2,7.9,0.54,16.7,256,0
Lamar,30,4,26,0.133,-6.04,0.437,0.308,0.744,69.4,96.2,0.517,46.8,50.8,7.7,0.467,18,344,0
Lehigh,32,14,18,0.438,-3.83,0.432,0.359,0.707,65.5,99.6,0.523,47.6,54.9,7.5,0.488,16,238,0
Liberty,32,11,21,0.344,-7.47,0.458,0.359,0.704,65.4,107.4,0.542,54.8,51.8,7.2,0.509,17.1,309,0
Lipscomb,30,15,15,0.5,-5.13,0.432,0.353,0.684,71,105.9,0.552,46.9,57.2,9.4,0.514,15.6,203,0
Long Beach State,32,15,17,0.469,2.71,0.432,0.312,0.661,66.5,103.8,0.51,51,49.3,8.6,0.482,15.2,168,0
Long Island,29,9,20,0.31,-5.55,0.428,0.345,0.717,68.5,104.2,0.533,48.4,57.6,6.3,0.494,16.1,300,0
Longwood,32,8,24,0.25,-5.56,0.44,0.351,0.729,69.7,100.2,0.526,45.5,53,9.7,0.489,16.2,336,0
Louisiana-Lafayette,35,23,12,0.657,-0.28,0.465,0.367,0.671,71.1,111.6,0.554,52.3,47.8,9.8,0.522,15.6,89,1
ULM,27,10,17,0.37,0.02,0.427,0.318,0.632,65,97.1,0.504,50,54.3,8.6,0.476,17.3,246,0
LSU,34,20,14,0.588,6.61,0.444,0.342,0.669,70.1,105.3,0.529,51.8,52.2,10.8,0.5,16.3,68,0
Louisiana Tech,37,29,8,0.784,-1.2,0.453,0.329,0.679,72.1,112,0.548,51.7,56.3,12.7,0.515,13.6,54,0
Louisville,37,31,6,0.838,4.8,0.471,0.368,0.661,69,117.4,0.562,52.1,54,14.5,0.535,12.9,16,1
Loyola-Chicago,32,10,22,0.313,-1.14,0.462,0.35,0.703,63.2,102.5,0.555,48.7,56.3,8.6,0.522,18.5,292,0
Loyola-Marymount,32,13,19,0.406,4.03,0.436,0.294,0.762,71.1,104.2,0.521,48.3,48.4,10.1,0.473,14.8,183,0
Loyola-Maryland,30,11,19,0.367,-3.23,0.414,0.321,0.667,65.5,98.4,0.498,46.2,49.4,11.9,0.458,15.5,273,0
Maine,29,6,23,0.207,-4.72,0.443,0.335,0.678,74.2,96.8,0.526,45.2,55.1,10.2,0.496,18.2,333,0
Manhattan,33,25,8,0.758,-0.9,0.451,0.369,0.663,70.3,107.1,0.547,50.7,52.3,11.5,0.507,17,61,1
Marist,31,12,19,0.387,-1.27,0.408,0.347,0.714,67.4,99.8,0.512,47.9,48.2,9.5,0.466,15.8,245,0
Marquette,32,17,15,0.531,6.61,0.444,0.321,0.69,66.3,105.6,0.529,52.3,59.3,9.2,0.487,15.1,94,0
Marshall,33,11,22,0.333,-1.32,0.432,0.308,0.622,69.6,103,0.513,49.1,47.4,9.1,0.484,15.6,275,0
Maryland-Baltimore County,30,9,21,0.3,-6.55,0.401,0.304,0.655,68.3,93.6,0.492,48,53.1,11.4,0.453,18.6,na,0
Maryland Eastern Shore,30,6,24,0.2,-6.61,0.401,0.323,0.721,66.9,99.5,0.507,47.9,51.7,9.8,0.456,16.3,347,0
Maryland,32,17,15,0.531,8.08,0.43,0.342,0.679,67.7,103.6,0.524,52.3,47.2,9.2,0.491,16,76,0
Massachusetts-Lowell,28,10,18,0.357,-4.53,0.394,0.327,0.704,64.5,94.7,0.503,46.3,58.8,9.1,0.46,18.3,284,0
Massachusetts,33,24,9,0.727,6,0.459,0.346,0.683,71.7,105.3,0.538,51.9,55.4,9.5,0.504,16.2,26,1
McNeese State,31,11,20,0.355,-4.01,0.393,0.305,0.696,69,97.9,0.488,48.2,50.6,9.8,0.447,15.6,270,0
Memphis,34,24,10,0.706,7.14,0.477,0.33,0.644,70.6,108.2,0.547,51.5,61.7,12.2,0.522,16,30,1
Mercer,36,27,9,0.75,-3.42,0.476,0.384,0.736,65.7,115.8,0.582,52.9,59.7,8.6,0.547,14.8,74,1
Miami,33,17,16,0.515,5.63,0.421,0.323,0.687,58,104.1,0.512,51.9,48.6,8.3,0.476,14.6,114,0
Miami-Ohio,31,13,18,0.419,0.13,0.434,0.294,0.754,66.8,97,0.522,47.8,53.6,12.8,0.478,18,166,0
